month,revenue,total_orders
2017-01,138249.86,797
2017-02,289960.27,1766
2017-03,449511.73,2680
2017-04,416419.64,2400
2017-05,592010.08,3691
2017-06,510613.42,3241
2017-07,591549.25,4021
2017-08,673525.55,4325
2017-09,727102.58,4281
2017-10,777660.69,4626
2017-11,1193892.76,7535
2017-12,876722.77,5666
2018-01,1114845.88,7268
2018-02,992075.39,6724
2018-03,1159109.46,7208
2018-04,1160785.48,6939
2018-05,1153936.46,6872
2018-06,1023880.5,6167
2018-07,1066367.17,6291
2018-08,1004839.11,6459
2018-09,166.46,1
